identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,type1,type2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-41#char=0,146",From 1976 to 1980 Brown was employed as a lecturer in politics at Glasgow College of Technology. He also worked as a tutor for the Open University,Glasgow College of Technology__66__95,Glasgow College__66__81,Glasgow__66__73,Technology__85__95,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-42#char=0,257","He attended grammar school in Belfast from the age of 12 and entered the University of Glasgow in 1746 when he was eighteen years old, studying there for four years before spending another four at the University of Edinburgh, furthering his medical studies.",grammar school__12__26,grammar__12__19,school__20__26,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-42#char=0,257","He attended grammar school in Belfast from the age of 12 and entered the University of Glasgow in 1746 when he was eighteen years old, studying there for four years before spending another four at the University of Edinburgh, furthering his medical studies.",University of Glasgow__73__94,University__73__83,Glasgow__87__94,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-42#char=0,257","He attended grammar school in Belfast from the age of 12 and entered the University of Glasgow in 1746 when he was eighteen years old, studying there for four years before spending another four at the University of Edinburgh, furthering his medical studies.",University of Edinburgh__201__224,University__201__211,Edinburgh__215__224,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-43#char=0,103","In 1757, Black was appointed Regius Professor of the Practice of Medicine at the University of Glasgow.",Regius Professor of the Practice of Medicine__29__73,Regius Professor__29__45,Professor__36__45,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-43#char=0,103","In 1757, Black was appointed Regius Professor of the Practice of Medicine at the University of Glasgow.",University of Glasgow__81__102,University__81__91,Glasgow__95__102,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,181","In 1766, treading in the footsteps of his friend and former teacher at Glasgow, Black succeeded William Cullen as Professor of Medicine and Chemistry at the University of Edinburgh.",former teacher__53__67,teacher__60__67,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,181","In 1766, treading in the footsteps of his friend and former teacher at Glasgow, Black succeeded William Cullen as Professor of Medicine and Chemistry at the University of Edinburgh.",University of Edinburgh__157__180,University__157__167,Edinburgh__171__180,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-45#char=0,228","In 1755 he was enticed by Lord Kames to become Professor of Chemistry and Medicine at the University of Edinburgh. It was in Edinburgh, in 1756, that he gave the first documented public demonstration of artificial refrigeration.",Professor of Chemistry__47__69,Professor__47__56,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-45#char=0,228","In 1755 he was enticed by Lord Kames to become Professor of Chemistry and Medicine at the University of Edinburgh. It was in Edinburgh, in 1756, that he gave the first documented public demonstration of artificial refrigeration.",University of Edinburgh__90__113,University__90__100,Edinburgh__104__113,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-47#char=0,266","In October 1850, already an accomplished mathematician, Maxwell left Scotland for the University of Cambridge. He initially attended Peterhouse, but before the end of his first term transferred to Trinity, where he believed it would be easier to obtain a fellowship.",University of Cambridge__86__109,University__86__96,Cambridge__100__109,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-48#char=0,94","In 1857 Maxwell befriended the Reverend Daniel Dewar, who was then the Principal of Marischal.",Reverend Daniel Dewar__31__52,Reverend__31__39,Daniel Dewar__40__52,Daniel__40__46,Dewar__47__52,,,,Role,Person
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-48#char=0,94","In 1857 Maxwell befriended the Reverend Daniel Dewar, who was then the Principal of Marischal.",Principal of Marischal__71__93,Principal__71__80,Marischal__84__93,,,,,,Role,Organization
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-49#char=0,72",In 1871 he became the first Cavendish Professor of Physics at Cambridge.,Cavendish Professor of Physics__28__58,Cavendish Professor__28__47,Professor__38__47,Physics__51__58,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-5#char=0,242","Marvin Lee Minsky was born to an eye surgeon father, Henry, and to a Jewish mother, Fannie, who was an activist in Zionist affairs, in New York City, where he attended the Ethical Culture Fieldston School and the Bronx High School of Science.",eye surgeon father__33__51,eye surgeon__33__44,surgeon__37__44,father__45__51,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-5#char=0,242","Marvin Lee Minsky was born to an eye surgeon father, Henry, and to a Jewish mother, Fannie, who was an activist in Zionist affairs, in New York City, where he attended the Ethical Culture Fieldston School and the Bronx High School of Science.",Jewish mother__69__82,mother__76__82,Jewish__69__75,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-5#char=0,242","Marvin Lee Minsky was born to an eye surgeon father, Henry, and to a Jewish mother, Fannie, who was an activist in Zionist affairs, in New York City, where he attended the Ethical Culture Fieldston School and the Bronx High School of Science.",New York City__135__148,New York__135__143,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-5#char=0,242","Marvin Lee Minsky was born to an eye surgeon father, Henry, and to a Jewish mother, Fannie, who was an activist in Zionist affairs, in New York City, where he attended the Ethical Culture Fieldston School and the Bronx High School of Science.",Ethical Culture Fieldston School__172__204,Ethical Culture__172__187,Fieldston School__188__204,Fieldston__188__197,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-5#char=0,242","Marvin Lee Minsky was born to an eye surgeon father, Henry, and to a Jewish mother, Fannie, who was an activist in Zionist affairs, in New York City, where he attended the Ethical Culture Fieldston School and the Bronx High School of Science.",the Bronx High School of Science__209__241,the Bronx__209__218,Bronx High School of Science__213__241,Bronx High School__213__230,Bronx__213__218,High School__219__230,Science__234__241,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-50#char=0,129","Faraday was born in Newington Butts, which is now part of the London Borough of Southwark but was then a suburban part of Surrey.",Newington Butts__20__35,Newington__20__29,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-50#char=0,129","Faraday was born in Newington Butts, which is now part of the London Borough of Southwark but was then a suburban part of Surrey.",London Borough of Southwark__62__89,London Borough__62__76,London__62__68,Borough__69__76,Southwark__80__89,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-55#char=0,118","Along with the University of Edinburgh, the University was part of the Scottish Enlightenment during the 18th century.",University of Edinburgh__15__38,University__15__25,Edinburgh__29__38,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-55#char=0,118","Along with the University of Edinburgh, the University was part of the Scottish Enlightenment during the 18th century.",Scottish Enlightenment__71__93,Scottish__71__79,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-56#char=0,97",The University of Glasgow was founded in 1451 AD by a charter or papal bull from Pope Nicholas V.,University of Glasgow__4__25,The University__0__14,University__4__14,Glasgow__18__25,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-56#char=0,97",The University of Glasgow was founded in 1451 AD by a charter or papal bull from Pope Nicholas V.,Pope Nicholas V__81__96,Pope__81__85,Nicholas V.__86__97,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-58#char=0,83","After a long decline, Bologna was reborn in the 5th century under Bishop Petronius.",Bishop Petronius__66__82,Bishop__66__72,Petronius__73__82,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-59#char=0,63",Saint Petronius was bishop of Bologna during the fifth century.,Saint Petronius__0__15,Petronius__6__15,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-59#char=0,63",Saint Petronius was bishop of Bologna during the fifth century.,bishop of Bologna__20__37,bishop__20__26,Bologna__30__37,,,,,,Role,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-6#char=0,147","In the early 1970s, at the MIT Artificial Intelligence Lab, Minsky and Papert started developing what came to be called the Society of Mind theory.",MIT Artificial Intelligence Lab__27__58,MIT__27__30,Artificial Intelligence__31__54,Intelligence__42__54,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-7#char=0,268",Ray Kurzweil grew up in the New York City borough of Queens. He was born to secular Jewish parents who had emigrated from Austria just before the onset of World War II. He was exposed via Unitarian Universalism to a diversity of religious faiths during his upbringing.,New York City borough__28__49,New York City__28__41,New York__28__36,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-7#char=0,268",Ray Kurzweil grew up in the New York City borough of Queens. He was born to secular Jewish parents who had emigrated from Austria just before the onset of World War II. He was exposed via Unitarian Universalism to a diversity of religious faiths during his upbringing.,borough of Queens__42__59,Queens__53__59,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-7#char=0,268",Ray Kurzweil grew up in the New York City borough of Queens. He was born to secular Jewish parents who had emigrated from Austria just before the onset of World War II. He was exposed via Unitarian Universalism to a diversity of religious faiths during his upbringing.,Jewish parents__84__98,parents__91__98,Jewish__84__90,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-7#char=0,268",Ray Kurzweil grew up in the New York City borough of Queens. He was born to secular Jewish parents who had emigrated from Austria just before the onset of World War II. He was exposed via Unitarian Universalism to a diversity of religious faiths during his upbringing.,Unitarian Universalism__188__210,Unitarian__188__197,Universalism__198__210,,,,,,Organization,
