identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,alternative9,alternative10,alternative11,alternative12,type1,type2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-11#char=0,139",From 1936 to 1938 he moved as a full professor and director of the Institute of Industrial Chemistry at the Polytechnic Institute of Turin.,Institute of Industrial Chemistry__67__100,Institute__67__76,Industrial Chemistry__80__100,Chemistry__91__100,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-11#char=0,139",From 1936 to 1938 he moved as a full professor and director of the Institute of Industrial Chemistry at the Polytechnic Institute of Turin.,Polytechnic Institute of Turin__108__138,Polytechnic Institute__108__129,Turin__133__138,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-12#char=0,152","Goeppert Mayer married Joseph Edward Mayer, and moved to the United States, where Goeppert Mayer was an associate professor at Johns Hopkins University.",Goeppert Mayer__0__14,Mayer__9__14,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-12#char=0,152","Goeppert Mayer married Joseph Edward Mayer, and moved to the United States, where Goeppert Mayer was an associate professor at Johns Hopkins University.",United States__61__74,United__61__67,,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-12#char=0,152","Goeppert Mayer married Joseph Edward Mayer, and moved to the United States, where Goeppert Mayer was an associate professor at Johns Hopkins University.",Goeppert Mayer__82__96,Mayer__91__96,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-12#char=0,152","Goeppert Mayer married Joseph Edward Mayer, and moved to the United States, where Goeppert Mayer was an associate professor at Johns Hopkins University.",associate professor__104__123,professor__114__123,,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-13#char=0,216","Strict rules against nepotism prevented Johns Hopkins University from taking Goeppert Mayer on as a faculty member, but she was given a job as an assistant and published a landmark paper on double beta decay in 1935.",Goeppert Mayer__77__91,Mayer__86__91,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-13#char=0,216","Strict rules against nepotism prevented Johns Hopkins University from taking Goeppert Mayer on as a faculty member, but she was given a job as an assistant and published a landmark paper on double beta decay in 1935.",faculty member__100__114,faculty__100__107,member__108__114,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-14#char=0,169","After the war, the woman became a voluntary associate professor of Physics at the University of Chicago and a senior physicist at the nearby Argonne National Laboratory.",voluntary associate professor__34__63,associate professor__44__63,professor__54__63,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-14#char=0,169","After the war, the woman became a voluntary associate professor of Physics at the University of Chicago and a senior physicist at the nearby Argonne National Laboratory.",University of Chicago__82__103,University__82__92,Chicago__96__103,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-14#char=0,169","After the war, the woman became a voluntary associate professor of Physics at the University of Chicago and a senior physicist at the nearby Argonne National Laboratory.",Argonne National Laboratory__141__168,National Laboratory__149__168,Laboratory__158__168,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-15#char=0,116","The woman was awarded the Nobel Prize in Physics in 1963, which she shared with J. Hans D. Jensen and Eugene Wigner.",J. Hans D. Jensen__80__97,J__80__81,Hans D__83__89,Hans__83__87,Jensen__91__97,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-16#char=0,245","In December 1941, Goeppert Mayer took up her first paid professional position, teaching science part-time at Sarah Lawrence College and in 1960, Maria Goeppert was appointed full professor of physics at the University of California at San Diego.",Goeppert Mayer__18__32,Mayer__27__32,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-16#char=0,245","In December 1941, Goeppert Mayer took up her first paid professional position, teaching science part-time at Sarah Lawrence College and in 1960, Maria Goeppert was appointed full professor of physics at the University of California at San Diego.",full professor__174__188,professor__179__188,,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-16#char=0,245","In December 1941, Goeppert Mayer took up her first paid professional position, teaching science part-time at Sarah Lawrence College and in 1960, Maria Goeppert was appointed full professor of physics at the University of California at San Diego.",University of California at San Diego__207__244,University of California__207__231,University__207__217,California__221__231,San Diego__235__244,,,,,,,,Organization,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-17#char=0,127","The poet was born in Paris as the only child of Jean-Baptiste Sartre, an officer of the French Navy, and Anne-Marie Schweitzer.",Jean-Baptiste Sartre__48__68,Jean-Baptiste__48__61,Sartre__62__68,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-17#char=0,127","The poet was born in Paris as the only child of Jean-Baptiste Sartre, an officer of the French Navy, and Anne-Marie Schweitzer.",French Navy__88__99,French__88__94,,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-17#char=0,127","The poet was born in Paris as the only child of Jean-Baptiste Sartre, an officer of the French Navy, and Anne-Marie Schweitzer.",Anne-Marie Schweitzer__105__126,Schweitzer__116__126,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-18#char=0,258","Martin Luther King then began doctoral studies in systematic theology at Boston University and received his Ph.D. degree on June 5, 1955, with a dissertation on ""A Comparison of the Conceptions of God in the Thinking of Paul Tillich and Henry Nelson Wieman"".",Martin Luther King__0__18,Martin Luther__0__13,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-18#char=0,258","Martin Luther King then began doctoral studies in systematic theology at Boston University and received his Ph.D. degree on June 5, 1955, with a dissertation on ""A Comparison of the Conceptions of God in the Thinking of Paul Tillich and Henry Nelson Wieman"".",Conceptions of God__182__200,God__197__200,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-19#char=0,206","As a Christian minister, the activist's main influence was Jesus Christ and the Christian gospels, which he would almost always quote in his religious meetings, speeches at church, and in public discourses.",Christian minister__5__23,Christian__5__14,minister__15__23,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-2#char=0,253","After graduating from Magdalene College in 1921, Blackett spent ten years working at the Cavendish Laboratory as an experimental physicist with Professor Rutherford and in 1923 became a fellow of King's College, Cambridge, a position he held until 1933.",Cavendish Laboratory__89__109,Laboratory__99__109,,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-2#char=0,253","After graduating from Magdalene College in 1921, Blackett spent ten years working at the Cavendish Laboratory as an experimental physicist with Professor Rutherford and in 1923 became a fellow of King's College, Cambridge, a position he held until 1933.",experimental physicist__116__138,physicist__129__138,,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-2#char=0,253","After graduating from Magdalene College in 1921, Blackett spent ten years working at the Cavendish Laboratory as an experimental physicist with Professor Rutherford and in 1923 became a fellow of King's College, Cambridge, a position he held until 1933.",fellow of King's College__186__210,fellow__186__192,,,,,,,,,,,Role,Organization
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-2#char=0,253","After graduating from Magdalene College in 1921, Blackett spent ten years working at the Cavendish Laboratory as an experimental physicist with Professor Rutherford and in 1923 became a fellow of King's College, Cambridge, a position he held until 1933.","King's College, Cambridge__196__221",King's College__196__210,King__196__200,College__203__210,Cambridge__212__221,,,,,,,,Organization,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-20#char=0,258","Beckett studied French, Italian, and English at Trinity College, Dublin from 1923 to 1927. Beckett graduated with a BA and, after teaching briefly at Campbell College in Belfast, took up the post of lecteur d'anglais in the École Normale Supérieure in Paris.","Trinity College, Dublin__48__71",Trinity College__48__63,Dublin__65__71,,,,,,,,,,Organization,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-21#char=0,51",One of the them was an eminent scholar at Berkeley.,One of the them__0__15,One__0__3,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-21#char=0,51",One of the them was an eminent scholar at Berkeley.,eminent scholar__23__38,scholar__31__38,,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-23#char=0,125","The novelist spent some time in London, where in 1931 he published Proust, his critical study of French author Marcel Proust.",French author__97__110,French__97__103,author__104__110,,,,,,,,,,Person,Role
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-24#char=0,111",Neruda derived his pen name from the Czech poet Jan Neruda and became known as a poet when he was 10 years old.,Czech poet__37__47,Czech__37__42,poet__43__47,,,,,,,,,,Person,Role
