identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,alternative9,alternative10,alternative11,alternative12,type1,type2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-50#char=0,91",Wiesel taught Hebrew and worked as a choirmaster before becoming a professional journalist.,professional journalist__67__90,journalist__80__90,,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-52#char=0,155","In 2009, Wiesel criticized the Vatican for lifting the excommunication of controversial bishop Richard Williamson, a member of the Society of Saint Pius X.",bishop Richard Williamson__88__113,bishop__88__94,Richard Williamson__95__113,,,,,,,,,,Role,Person
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-52#char=0,155","In 2009, Wiesel criticized the Vatican for lifting the excommunication of controversial bishop Richard Williamson, a member of the Society of Saint Pius X.",Society of Saint Pius X__131__154,Society of Saint Pius X.__131__155,Society__131__138,Saint Pius X__142__154,Saint__142__147,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-53#char=0,80","Tonegawa was born in Nagoya, Japan and attended the Hibiya High School in Tokyo.","Nagoya, Japan__21__34",Nagoya__21__27,Japan__29__34,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-53#char=0,80","Tonegawa was born in Nagoya, Japan and attended the Hibiya High School in Tokyo.",Hibiya High School__52__70,Hibiya__52__58,High School__59__70,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-54#char=0,119","Mandela served 27 years in prison, initially on Robben Island, and later in Pollsmoor Prison and Victor Verster Prison.",Pollsmoor Prison__76__92,Prison__86__92,,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-54#char=0,119","Mandela served 27 years in prison, initially on Robben Island, and later in Pollsmoor Prison and Victor Verster Prison.",Victor Verster Prison__97__118,Victor Verster__97__111,Prison__112__118,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-55#char=0,113","The girl was born on 18 July 1918 in the village of Mvezo in Umtata, then a part of South Africa's Cape Province.",South Africa's Cape Province__84__112,South Africa__84__96,Cape Province__99__112,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-56#char=0,132",John started with high expectations and enthusiasm to study chemistry at the famous Swiss Federal Institute of Technology in Zurich.,Swiss Federal Institute of Technology in Zurich__84__131,Swiss Federal Institute of Technology__84__121,Swiss Federal Institute__84__107,Swiss__84__89,Federal Institute of Technology__90__121,Federal__90__97,Institute__98__107,Technology__111__121,Zurich__125__131,,,,Organization,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-57#char=0,75","A french was born in Paris, France, and was home-schooled to the age of 12.","Paris, France__21__34",Paris__21__26,France__28__34,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-58#char=0,215","In 1971, he became professor at the Collège de France. He was then director of the École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris, a post he held from 1976 until his retirement in 2002.",Collège de France__36__53,Collège__36__43,France__47__53,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-58#char=0,215","In 1971, he became professor at the Collège de France. He was then director of the École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris, a post he held from 1976 until his retirement in 2002.",École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris__83__159,École Supérieure de Physique et de Chimie Industrielles__83__138,de__100__102,Physique__103__111,de__115__117,Chimie Industrielles de la Ville de Paris__118__159,Ville de Paris__145__159,Paris__154__159,,,,,Organization,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-59#char=0,148",Hulse was born in New York City and attended Bronx High School of Science and the Cooper Union before moving to University of Massachusetts Amherst.,New York City__18__31,New York__18__26,,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-59#char=0,148",Hulse was born in New York City and attended Bronx High School of Science and the Cooper Union before moving to University of Massachusetts Amherst.,Bronx High School of Science__45__73,Bronx High School__45__62,Bronx__45__50,High School__51__62,Science__66__73,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-59#char=0,148",Hulse was born in New York City and attended Bronx High School of Science and the Cooper Union before moving to University of Massachusetts Amherst.,University of Massachusetts Amherst__112__147,University__112__122,Massachusetts__126__139,Amherst__140__147,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-6#char=0,191","Lutuli accepted the post of principal and only teacher at a primary school in rural Blaauwbosch, Newcastle, Natal. Here Lutuli was confirmed in the Methodist Church and became a lay preacher.","Newcastle, Natal__97__113",Newcastle__97__106,Natal__108__113,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-6#char=0,191","Lutuli accepted the post of principal and only teacher at a primary school in rural Blaauwbosch, Newcastle, Natal. Here Lutuli was confirmed in the Methodist Church and became a lay preacher.",the Methodist Church__144__164,Methodist Church__148__164,Methodist__148__157,Church__158__164,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-6#char=0,191","Lutuli accepted the post of principal and only teacher at a primary school in rural Blaauwbosch, Newcastle, Natal. Here Lutuli was confirmed in the Methodist Church and became a lay preacher.",lay preacher__178__190,preacher__182__190,,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-60#char=0,193","Michael Smith first attended St. Nicholas Church of England School, a state-run elementary school. At the time, few children from state schools in England went on to further academic education.",St. Nicholas Church of England School__29__66,St. Nicholas Church__29__48,St. Nicholas__29__41,St__29__31,Nicholas Church__33__48,Church of England School__42__66,Church of England__42__59,Church__42__48,England School__52__66,England__52__59,School__60__66,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-61#char=0,214","Michael was born April 26, 1932, in Blackpool, Lancashire, England. He immigrated to Canada in 1956 and became a Canadian citizen in 1963. Michael married Helen Wood Christie on August 6, 1960, on Vancouver Island.","Blackpool, Lancashire, England__36__66",Blackpool__36__45,"Lancashire, England__47__66",Lancashire__47__57,England__59__66,"Blackpool, Lancashire__36__57",,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-61#char=0,214","Michael was born April 26, 1932, in Blackpool, Lancashire, England. He immigrated to Canada in 1956 and became a Canadian citizen in 1963. Michael married Helen Wood Christie on August 6, 1960, on Vancouver Island.",Canadian citizen__113__129,Canadian__113__121,citizen__122__129,,,,,,,,,,Person,Role
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-61#char=0,214","Michael was born April 26, 1932, in Blackpool, Lancashire, England. He immigrated to Canada in 1956 and became a Canadian citizen in 1963. Michael married Helen Wood Christie on August 6, 1960, on Vancouver Island.",Helen Wood Christie__155__174,Helen Wood__155__165,Helen__155__160,Wood__161__165,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-61#char=0,214","Michael was born April 26, 1932, in Blackpool, Lancashire, England. He immigrated to Canada in 1956 and became a Canadian citizen in 1963. Michael married Helen Wood Christie on August 6, 1960, on Vancouver Island.",Vancouver Island__197__213,Vancouver__197__206,Island__207__213,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-62#char=0,223","Mario Capecchi was born in the city of Verona as the only child of Luciano Capecchi, an airman, and Lucy Ramberg, an American-born daughter of Impressionist painter Lucy Dodd Ramberg and German archaeologist Walter Ramberg.",Luciano Capecchi__67__83,Luciano__67__74,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-62#char=0,223","Mario Capecchi was born in the city of Verona as the only child of Luciano Capecchi, an airman, and Lucy Ramberg, an American-born daughter of Impressionist painter Lucy Dodd Ramberg and German archaeologist Walter Ramberg.",Lucy Ramberg__100__112,Lucy__100__104,Ramberg__105__112,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-62#char=0,223","Mario Capecchi was born in the city of Verona as the only child of Luciano Capecchi, an airman, and Lucy Ramberg, an American-born daughter of Impressionist painter Lucy Dodd Ramberg and German archaeologist Walter Ramberg.",American-born__117__130,American__117__125,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-62#char=0,223","Mario Capecchi was born in the city of Verona as the only child of Luciano Capecchi, an airman, and Lucy Ramberg, an American-born daughter of Impressionist painter Lucy Dodd Ramberg and German archaeologist Walter Ramberg.",Impressionist painter__143__164,Impressionist__143__156,painter__157__164,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-62#char=0,223","Mario Capecchi was born in the city of Verona as the only child of Luciano Capecchi, an airman, and Lucy Ramberg, an American-born daughter of Impressionist painter Lucy Dodd Ramberg and German archaeologist Walter Ramberg.",Lucy Dodd Ramberg__165__182,Lucy__165__169,Dodd__170__174,Ramberg__175__182,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-62#char=0,223","Mario Capecchi was born in the city of Verona as the only child of Luciano Capecchi, an airman, and Lucy Ramberg, an American-born daughter of Impressionist painter Lucy Dodd Ramberg and German archaeologist Walter Ramberg.",German archaeologist__187__207,German__187__193,archaeologist__194__207,,,,,,,,,,Person,Role
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-62#char=0,223","Mario Capecchi was born in the city of Verona as the only child of Luciano Capecchi, an airman, and Lucy Ramberg, an American-born daughter of Impressionist painter Lucy Dodd Ramberg and German archaeologist Walter Ramberg.",Walter Ramberg__208__222,Ramberg__215__222,,,,,,,,,,,Person,
